Brand,All_vegan,Partial_vegan,Bad_parent_company,Black_owned,Ulta,Sephora,Beauty_Bay,Cult_Beauty,Nordstrom
Caroline’s Dream,False,False,False,False,,,,,
Cate McNabb,False,False,False,False,,,,,
Catrice,False,False,False,False,,,,,
Cedar + Stone ,True,False,False,False,,,,,
Ceremonia ,True,False,False,False,,1.0,,,
Certain Dri ,False,False,True,False,,,,,
Charlotte Tilbury,False,False,False,False,,,,,
Charlotte Tilbury ,False,True,False,False,,1.0,,1.0,1.0
"Cheeky Panda, The ",True,False,False,False,,,,,
Chella,False,False,False,False,,,,,
"Chemistry Brand, The ",False,False,True,False,,,,,
Christy Organics ,True,False,False,False,,,,,
Ciaté London,False,False,False,False,,1.0,,,
Clarria Cosmetics,False,False,False,False,,,,,
Clutch Nails ,True,False,False,False,,,,,
Coco & Eve,False,False,False,False,,,,,
Cocokind,False,False,False,False,1.0,,,,
Cocoon Apothecary ,True,False,False,False,,,,,
Cocovit,False,False,False,False,,,,,
Color Club ,True,False,False,False,,,,,
ColorProof ,True,False,False,False,,,,,
Colorevolution,False,False,False,False,,,,,
ColourPop,False,False,False,False,1.0,,,,
ColourPop ,False,False,False,False,,,,,
Coloured Raine ,False,True,False,False,,,1.0,,
Coloured Raine Cosmetics ,False,False,False,True,,,,,
Conair,False,False,False,False,1.0,,,,
Concrete Minerals ,True,False,False,False,,,,,
Conscious Skincare,False,False,False,False,,,,,
Cora,False,False,False,False,,,,,
Counter Culture Clean ,True,False,False,False,,,,,
Cover FX ,True,False,False,False,,,1.0,1.0,
CoverFX ,True,False,False,False,1.0,,,,
Cowshed,False,False,False,False,,,,,
Crazy Rumors ,True,False,False,False,,,,,
Creature Cosmetics ,True,False,False,False,,,,,
Crispy Brows,False,False,False,False,,,,,
Crystal Body Deodorant ,True,False,False,False,,,,,
DEMES/Demes Natural Products ,True,False,False,False,,,,,
DIME Beauty,False,False,False,False,,,,,
DN-UNIK ,True,False,False,False,,,,,
DSMD Shop ,False,False,False,True,,,,,
DUO,False,False,False,False,,1.0,,,
Dahliana Naturals ,True,False,False,False,,,,,
Daisy Blue Naturals,False,False,False,False,,,,,
DeVita ,True,False,False,False,,,,,
Dear Dahlia ,True,False,False,False,,,,,
Dear Self,False,False,False,False,,,,,
Deborah Lippmann,False,False,False,False,,1.0,,,1.0
Deciem,False,False,False,False,,,,,
Deco Miami ,True,False,False,False,,,,,
DefineMe Fragrance ,True,False,False,False,1.0,,,,
Dehiya ,True,False,False,True,,,,,
Delectable ,True,False,False,False,,,,,
Delight Beauty ,True,False,False,False,,,,,
DermOrganic ,True,False,False,False,,,,,
Derma E ,True,False,False,False,1.0,,,,
Derma E ,True,False,False,False,,,,,
Dermablend ,False,False,True,False,1.0,,,,
Dermablend Professional ,False,False,True,False,,,,,
Dermalogica ,False,False,True,False,,,,,1.0
Dermalogica ,False,False,True,False,1.0,1.0,,,
Desert Essence,False,False,False,False,,,,,
DevaCurl ,False,False,True,False,1.0,,,,1.0
DevaCurl ,False,False,True,False,,1.0,,,
Dial ,False,False,True,False,,,,,
Dickinson Brands,False,False,False,False,,,,,
Dimension Nails ,True,False,False,True,,,,,
Dirt Don’t Hurt Me ,True,False,False,True,,,,,
Doctor Rogers RESTORE ,True,False,False,False,,,,,
Dose of Colors,False,False,False,False,,,1.0,,
Dossier ,True,False,False,False,,,,,
Dr. Bronner’s,False,False,False,False,,,,,
Dr. Hauschka,False,False,False,False,,,,,
Dr. Roebuck’s,False,False,False,False,,,,1.0,
Drainbo,False,False,False,False,,,,,
Drunk Elephant ,False,False,True,False,,1.0,,1.0,
DryBar,False,False,False,False,1.0,1.0,,,1.0
Drybar,False,False,False,False,,,,,
DuWop Cosmetics,False,False,False,False,,,,,
ECO Minerals ,True,False,False,False,,,,,
ELF (Eyes Lips Face/E.L.F.) ,True,False,False,False,,,,,
ELF Cosmetics,False,False,False,False,1.0,,,,
ENJOY Professional Hair Care,False,False,False,False,,,,,
EO Products,False,False,False,False,,,,,
EOS,False,False,False,False,1.0,,,,
EOS (Evolution of Smooth),False,False,False,False,,,,,
EVOHE ,True,False,False,False,,,,,
EVOLVh,False,False,False,False,,,,,
Earth Friendly Products (ECOS),False,False,False,False,,,,,
Earth Harbor Naturals,False,False,False,False,,,,,
Earth Science Naturals,False,False,False,False,,,,,
Earth Tu Face,False,False,False,False,,,,,
Earthwise Beauty,False,False,False,False,,,,,
Ecco Bella,False,False,False,False,,,,,
Eco Lips,False,False,False,False,,,,,
Eco Tan,False,False,False,False,,,,,
Eco Tools,False,False,False,False,1.0,,,,
Eco Tools ,True,False,False,False,,,,,
Eco-Dent,False,False,False,False,,,,,
Ecover ,True,False,True,False,,,,,
Elate Clean Cosmetics ,True,False,False,False,,,,,
Elixery ,True,False,False,False,,,,,
Elizabeth Mott,False,False,False,False,,,,,
Ella + Mila,False,False,False,False,1.0,,,,
Ellis Faas,False,False,False,False,,,,,
Ellovi ,True,False,False,False,,,,,
Elysian Nail Lacquer ,True,False,False,False,,,,,
EmJ Makeup ,True,False,False,False,,,,,
Emani ,True,False,False,False,,,,,
Epic Blend,False,False,False,False,,,,,
Epice International ,True,False,False,False,,,,,
Espinache ,True,False,False,False,,,,,
Essence,False,False,False,False,,,,,
Eu’Genia ,False,False,False,True,,,,,
Eva NYC,False,False,False,False,1.0,,,,
